Date/Time,Word Count,en,pt-BR
2020.10.29-20.51.05,182,0,182
2020.10.30-20.49.51,182,134,182
2020.11.05-15.48.10,185,114,185
2020.11.17-20.16.03,189,132,189
2020.11.18-19.28.17,200,167,200
2020.11.18-19.29.58,200,175,200
2020.11.18-19.32.11,199,169,199
2020.11.26-12.18.20,199,167,199
2020.11.27-18.58.07,199,169,199
2020.11.27-19.15.21,200,169,200
2020.12.14-17.32.53,200,175,200
2020.12.17-18.50.16,202,177,202
2021.01.07-22.49.05,211,170,211
2021.12.16-17.14.02,215,188,215
2021.12.16-17.15.44,210,187,210
2021.12.16-17.22.00,230,187,230
2021.12.17-10.42.20,230,207,230
2021.12.17-10.44.59,232,204,232
2021.12.17-10.54.06,231,203,231
2021.12.21-10.30.19,231,207,231
2022.01.28-15.00.28,231,205,231
